create_date,name,sex,review,rate,market
2026-06-21,Ольга,женский,Достоинства:Всегда беру эту фирму,5.0,Wildberries
2026-06-21,Алина,женский,Достоинства:Все отлично,5.0,Wildberries
2026-06-21,Алевтина,женский,,5.0,Wildberries
2026-06-21,Сальмахан,мужской,"Достоинства:Гель густой,хорошо пенится",1.0,Wildberries
2026-06-20,Наталья,женский,"Достоинства:Беру второй раз, очень давольна. Густой, хорошо пенеться. Спасибо большое за качественный товар. Продавца рекомендую.",5.0,Wildberries
2026-06-20,Леонова,женский,,5.0,Wildberries
2026-06-20,Покупатель,мужской,Достоинства:❤️,5.0,Wildberries
2026-06-20,Елена,женский,,5.0,Wildberries
2026-06-20,Гульнара,женский,"Достоинства:Гель хорошо мылится , чисто моет посуду, без запаха",5.0,Wildberries
2026-06-20,Наталия,женский,,5.0,Wildberries
2026-06-20,Елена,женский,"Достоинства:Всегда пользуюсь, очень нравится, рекомендую !",5.0,Wildberries
2026-06-20,Покупатель,мужской,,5.0,Wildberries
2026-06-20,Светлана,женский,,5.0,Wildberries
2026-06-20,Елена,женский,,5.0,Wildberries
2026-06-20,Светлана,женский,"Достоинства:Отлично отмывает посуду, а самое главное не сушит кожу рук",5.0,Wildberries
2026-06-20,Наталья,женский,Достоинства:Очень подходит для рук,5.0,Wildberries
2026-06-20,Покупатель,мужской,,5.0,Wildberries
2026-06-20,Покупатель,мужской,Достоинства:Хорошо пенится и надолго хватает!,5.0,Wildberries
2026-06-20,Покупатель,мужской,,5.0,Wildberries
2026-06-20,Юлия,женский,"Достоинства:Люблю средства для мытья посуды от этого производителя. Удобная, экономичная упаковка и цена не дорогая.",5.0,Wildberries
2026-06-20,Алла,женский,"Достоинства:Товар хорошо упакован, гель густой, приятно пахнет, хватает надолго!",5.0,Wildberries
2026-06-20,Мария,женский,Достоинства:Объем,5.0,Wildberries
2026-06-19,Евгения,женский,,5.0,Wildberries
2026-06-19,Людмила,женский,Достоинства:Не сушит руки. Хорошее средство.,5.0,Wildberries
2026-06-19,Катерина,женский,"Достоинства:Хороший гель! Прекрасно пенится, хватает надолго",5.0,Wildberries
2026-06-19,Ольга,женский,"Пользуюсь много лет и стараюсь не изменять. Не оставляет запах, а то самое главное для меня.",5.0,Wildberries
2026-06-19,Вероника,женский,Достоинства:Отличный гель для посуды,5.0,Wildberries
2026-06-19,Ирина,женский,"Густой гель бальзам, смывает жир не плохо",5.0,Wildberries
2026-06-19,Марина,женский,"Достоинства:Беру уже не в первый раз,хватает надолго",5.0,Wildberries
2026-06-19,Просто,мужской,,5.0,Wildberries
2026-06-19,Ирина,женский,"Покупаю периодически гель-бальзам. Расход по стирке большой. И квартира, и дача. Впервые купила синергетик с базиликом и мятой. Средство для стирки и экологичное, и душистое. Спасибо!",5.0,Wildberries
2026-06-19,Антонина,женский,,5.0,Wildberries
2026-06-19,Татьяна,женский,,5.0,Wildberries
2026-06-19,Ольга,женский,Достоинства:Все отлично отмывает,5.0,Wildberries
2026-06-19,Елена,женский,"Достоинства:Всегда заказываю этой фирмы гель. Надолго хватает, маленький расход и осень хорошо смывается .",5.0,Wildberries
2026-06-19,Елена,женский,,5.0,Wildberries
2026-06-19,Анна,женский,"Недостатки:Плохо пенится и не смывает жир вообще. Раньше был просто гель, он мыл лучше",1.0,Wildberries
2026-06-19,Юрий,мужской,,5.0,Wildberries
2026-06-19,Дарья,женский,,4.0,Wildberries
2026-06-19,Татьяна,женский,"😆Решила заказать в большом объёме именно этот товар по рекомендации подруги!!! Текстура, аромат и эффект отличный!!! Спасибо.",5.0,Wildberries
2026-06-18,Сергей,мужской,Достоинства:Давно берем,5.0,Wildberries
2026-06-18,Карина,женский,"Беру не в первый раз. Аромат есть, но тихий. Лично я не люблю когда сильно пахнет. Отмывает 100%. Используем и как мыло для рук. Кожу не сушит, смывается полностью, не остается пленкой на поверхности.",5.0,Wildberries
2026-06-18,Екатерина,женский,"Достоинства:Запаха нет, пенится хорошо.",5.0,Wildberries
2026-06-18,Катерина,женский,Достоинства:Доставили целым. Скоро проверим,4.0,Wildberries
2026-06-18,Евгений,мужской,Достоинства:Товар соответствует описанию. Качество хорошее. Хорошо отмывает посуду и жир на ней.,5.0,Wildberries
2026-06-18,Анна,женский,,3.0,Wildberries
2026-06-18,Евгений,мужской,Достоинства:Товар соответствует описанию. Качество хорошее. Отмывает посуду хорошо.,5.0,Wildberries
2026-06-18,Светлана,женский,,5.0,Wildberries
2026-06-18,Вера,женский,,5.0,Wildberries
2026-06-18,Галина,женский,"Достоинства:Гель очень понравился. Очень густой, пришлось немного развести водой. Отмывает отлично. К покупке рекомендую. Спасибо за товар. Буду брать теперь все время.",5.0,Wildberries
2026-06-18,Ирина,женский,,5.0,Wildberries
2026-06-18,Евдокия,женский,"Достоинства:Гель отличный, густой .",5.0,Wildberries
2026-06-18,Оксана,женский,,5.0,Wildberries
2026-06-18,АБВГД,мужской,Достоинства:беру постоянно ❤️,5.0,Wildberries
2026-06-18,Марина,женский,Достоинства:Отличное средство для мытья посуды,5.0,Wildberries
2026-06-18,Екатерина,женский,,5.0,Wildberries
2026-06-18,Покупатель,мужской,Всё отлично!,5.0,Wildberries
2026-06-18,Анастасия,женский,Достоинства:Хорошо моет,5.0,Wildberries
2026-06-18,Карина,женский,,5.0,Wildberries
2026-06-18,Анна,женский,,5.0,Wildberries
2026-06-17,Марина,женский,"Достоинства:Беру не первый раз, очень нравится.",5.0,Wildberries
2026-06-17,Покупатель,мужской,,5.0,Wildberries
2026-06-17,Анна,женский,"Достоинства:Приятный запах, густой, хватает очень надолго",5.0,Wildberries
2026-06-17,Карина,женский,,5.0,Wildberries
2026-06-17,Лика,женский,,5.0,Wildberries
2026-06-17,Николай,мужской,Достоинства:Лучший гель для мытья посуды,5.0,Wildberries
2026-06-17,Александр,мужской,Качественная бытовая химия 💯👍,5.0,Wildberries
2026-06-17,Валерий,мужской,,5.0,Wildberries
2026-06-17,Лариса,женский,,5.0,Wildberries
2026-06-17,Антонина,женский,,5.0,Wildberries
2026-06-17,Елена,женский,Достоинства:Пользуюсь всегда этим средством. Мне нравится. Спасибо!,5.0,Wildberries
2026-06-17,Светлана,женский,,5.0,Wildberries
2026-06-17,Елена,женский,,5.0,Wildberries
2026-06-17,Покупатель,мужской,Достоинства:Много пены. Экономный. Хорошо удаляет жир!,5.0,Wildberries
2026-06-17,Татьяна,женский,,5.0,Wildberries
2026-06-17,Алена,женский,,5.0,Wildberries
2026-06-17,Светлана,женский,Достоинства:Хорошее средство. Отлично отмывает. Рекомендую.,5.0,Wildberries
2026-06-17,Владимир,мужской,,5.0,Wildberries
2026-06-17,Олеся,женский,,5.0,Wildberries
2026-06-17,Людмида,женский,Достоинства:Моя любимая фирма.,5.0,Wildberries
2026-06-16,Оксана,женский,,5.0,Wildberries
2026-06-16,Елена,женский,"Достоинства:Кожа не сушится, хорошо отмывает, не оставляет запаха",5.0,Wildberries
2026-06-16,Покупатель,мужской,"Достоинства:Пользуюсь давно, очень нравится.",5.0,Wildberries
2026-06-16,Покупатель,мужской,,5.0,Wildberries
2026-06-16,Покупатель,мужской,,5.0,Wildberries
2026-06-16,Наталия,женский,Достоинства:Пришёл быстро в применении все отлично 👌 спасибо продавцу отдельное спасибо за хорошее обслуживание и вежливость рекомендую обращаться,5.0,Wildberries
2026-06-16,Надежда,женский,,5.0,Wildberries
2026-06-16,Светлана,женский,"Достоинства:Отлично отмывает, пены много, запах приятный, очень нравится, заказала повторно",5.0,Wildberries
2026-06-16,Вячеслав,мужской,,5.0,Wildberries
2026-06-16,Марина,женский,"Достоинства:Беру постоянно. Все устраивает, цена качество.",5.0,Wildberries
2026-06-15,Дарья,женский,,5.0,Wildberries
2026-06-15,Натали,мужской,"Достоинства:Очень хороший гель, особенно для тех у кого аллергия.",5.0,Wildberries
2026-06-15,Даня,женский,,5.0,Wildberries
2026-06-15,О,мужской,,5.0,Wildberries
2026-06-15,Покупатель,мужской,,5.0,Wildberries
2026-06-15,Светлана,женский,"Очень густой, пахнет как стиральный порошок",3.0,Wildberries
2026-06-15,Анна,женский,Достоинства:Товар хороший немного не угадала с запахом,4.0,Wildberries
2026-06-15,Лариса,женский,"Достоинства:Нормальный гель, хватает на долго, покупаю не впервые. Спасибо.",5.0,Wildberries
2026-06-15,Покупатель,мужской,"Достоинства:Хорошо упакованно, гель мне нравиться, спасибо быстрая доставка.",5.0,Wildberries
2026-06-15,Светлана,женский,Достоинства:Всё,5.0,Wildberries
2026-06-15,Покупатель,мужской,,5.0,Wildberries
2026-06-15,Вера,женский,"Достоинства:Покупаю не первый раз, густой, хорошо пенится и хорошо отмывает. Рекомендую к покупке,",5.0,Wildberries
2026-06-15,Галина,женский,Достоинства:Берём постоянно.,5.0,Wildberries
2026-06-14,Покупатель,мужской,"Достоинства:,, моя,, давно им пользуется.",5.0,Wildberries
2026-06-14,Юлия,женский,,5.0,Wildberries
2026-06-14,Виктория,женский,,5.0,Wildberries
2026-06-14,Наталья,женский,"Недостатки:Всегда покупаю это средство, и всегда на крышке был or код. Здесь его нет. Проверить по "" Честному знаку"" нельзя, наводит на мысли что подделка",3.0,Wildberries
2026-06-14,Гульнара,женский,Без Чайной Соды ни как...Не понравилось,3.0,Wildberries
2026-06-14,Игорь,мужской,,5.0,Wildberries
2026-06-14,Айкен,мужской,Достоинства:Все супер! Очень хорошо пенится,5.0,Wildberries
2026-06-14,Светлана,женский,"Достоинства:Мелкий гель, без отдушки. То что хотела",5.0,Wildberries
2026-06-14,Карина,женский,Достоинства:все отлично упакована,5.0,Wildberries
2026-06-14,Покупатель,мужской,Достоинства:Пока еще не поняла. До этого заказывала другой. Поход на крем-мыло. 1 в 1. Даже запах. Только этикетки разные.,5.0,Wildberries
2026-06-14,Валентина,женский,Недостатки:Не понравился запах,3.0,Wildberries
2026-06-14,Ольга,женский,Достоинства:Хорошее средство с нейтральным запахом. Экологичное.,5.0,Wildberries
2026-06-14,Ольга,женский,,5.0,Wildberries
